x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame_index,center_x,center_y,time,sliding_window_x,sliding_window_y,real_world_x,real_world_y,real_world_sw_x,real_world_sw_y,latitude,longitude,speed,nr_people
990.18805,341.85776,1015.53,412.65536,0,0.8259051,5,person,132,1002.859,377.2566,9.0,993.1007,374.4621,1089628.6185823472,6123215.599065826,1089628.1658,6123215.2582,9.788300420865628,48.09824923594703,1.3140569891328757,32
1011.7411,345.05255,1039.0197,416.2786,0,0.7829271,5,person,139,1025.3804,380.6656,9.5,1009.9922,379.9078,1089628.9667911949,6123216.447682378,1089628.8671,6123215.8594,9.788303548878929,48.09825432717615,1.0228237779384726,31
1021.79224,352.07416,1055.4459,420.50476,0,0.8498292,5,person,147,1038.6191,386.2895,10.0,1033.0968,384.5096,1089629.3750129351,6123216.920928365,1089629.2525,6123216.7131,9.788307215997214,48.09825716638964,0,31
42.765533,151.64629,70.9827,199.38065,0,0.84927785,6,person,3,56.8741,175.5135,0.0,56.8741,175.5135,1089597.5753796105,6123162.887080321,1089597.5754,6123162.8871,9.788021555030765,48.097932992251955,0.9697144543058461,24
48.00379,150.924,68.62695,197.06029,0,0.8036961,6,person,4,58.3154,173.9921,0.5,57.5948,174.7528,1089597.093215508,6123162.773657789,1089597.3343,6123162.8304,9.788017223676936,48.09793231177539,1.3763138763408431,29
60.320198,149.33983,86.242035,194.56908,0,0.8504766,6,person,12,73.2811,171.9545,1.0,68.7624,172.5677,1089596.5992809955,6123163.506555829,1089596.6923,6123163.2939,9.788012786587718,48.09793670878468,1.2026265026922502,33
76.42734,147.2954,100.261116,193.5903,0,0.7806594,6,person,19,88.3442,170.4429,1.5,80.1541,170.4162,1089596.4238602982,6123164.380905696,1089596.3619,6123163.7049,9.788011210756782,48.09794195443132,1.3378999703229126,34
91.16229,145.40222,111.86941,190.93591,0,0.67559934,6,person,27,101.5158,168.1691,2.0,94.4158,168.5544,1089595.8868420161,6123164.993895319,1089596.0487,6123164.5331,9.788006386639475,48.097945632051434,2.0794873627006987,33
130.50858,142.52269,146.56192,182.33466,0,0.5287542,6,person,48,138.5352,162.4287,3.0,102.8706,168.0566,1089594.103891829,6123166.648427911,1089595.9404,6123165.2266,9.787990370125437,48.09795555838841,0.6990225229440343,36
130.60161,142.37259,148.41925,183.82428,0,0.5698439,6,person,49,139.5104,163.0984,3.5,104.3331,168.0566,1089594.4334055765,6123166.834288262,1089595.9404,6123165.4704,9.787993330197795,48.09795667345395,1.5299414590819251,36
